"id","farmer","village","district","mandal","crop","acreage","health","risk","confidence","lat","lng","ndvi","evi","ndre","analytics","outline","geometry"
"AND-GUN-008359","Anand Chowdary","PRATTIPADU","Guntur","Prathipadu","Tomato",1.25,54.17,"High",96.5,16.185598172357597,80.32853756455745,0.79,0.41,0.37,"{""pH"": 7.46, ""EC"": 2.96, ""Organic_Carbon"": 0.64, ""Nitrogen"": 257.0, ""Phosphorus"": 45.0, ""Potassium"": 256.0, ""Zinc"": 3.28, ""Iron"": 3.38, ""Copper"": 0.62, ""Boron"": 1.93, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-008359""}",NULL,NULL
"AND-GUN-000651","Nageswara Rao Daggubati","LAMALLEPADU","Guntur","Vatticherukuru","Mango",1.76,55.87,"High",94.0,16.19512373323005,80.46966093943372,0.76,0.45,0.29,"{""pH"": 8.44, ""EC"": 0.95, ""Organic_Carbon"": 0.89, ""Nitrogen"": 171.0, ""Phosphorus"": 78.0, ""Potassium"": 582.0, ""Zinc"": 2.49, ""Iron"": 8.79, ""Copper"": 1.97, ""Boron"": 0.95, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-000651""}",NULL,NULL
"AND-GUN-003089","Bhavani Dasari","KONDEPADU","Guntur","Prathipadu","Sesame (Til)",8.95,79.83,"Medium",98.8,16.1949099258426,80.37555255459941,0.34,0.56,0.47,"{""pH"": 7.47, ""EC"": 1.89, ""Organic_Carbon"": 0.73, ""Nitrogen"": 169.0, ""Phosphorus"": 9.0, ""Potassium"": 396.0, ""Zinc"": 2.92, ""Iron"": 13.98, ""Copper"": 0.94, ""Boron"": 0.76, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-003089""}",NULL,NULL
"AND-GUN-000971","Anand Kaza","PEDDARAVURU","Guntur","Pedakakani","Sesame (Til)",10.12,83.73,"Low",96.7,16.20244294030568,80.67380835249436,0.67,0.24,0.26,"{""pH"": 6.66, ""EC"": 0.51, ""Organic_Carbon"": 0.98, ""Nitrogen"": 121.0, ""Phosphorus"": 69.0, ""Potassium"": 273.0, ""Zinc"": 2.74, ""Iron"": 11.42, ""Copper"": 0.18, ""Boron"": 0.13, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-000971""}",NULL,NULL
"AND-GUN-008325","Narasimha Naidu","PEDDARAVURU","Guntur","Pedakakani","Bajra (Pearl Millet)",1.44,54.8,"High",98.8,16.200302101966948,80.65993506641978,0.34,0.33,0.45,"{""pH"": 5.52, ""EC"": 0.67, ""Organic_Carbon"": 0.34, ""Nitrogen"": 140.0, ""Phosphorus"": 19.0, ""Potassium"": 295.0, ""Zinc"": 1.62, ""Iron"": 10.41, ""Copper"": 1.19, ""Boron"": 1.45, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-008325""}",NULL,NULL
"AND-GUN-007671","Siva Yarlagadda","PATAREDDIPALEM","Guntur","Chebrolu","Jowar (Sorghum)",11.66,88.87,"Low",87.8,16.17088420619356,80.50673471642476,0.67,0.24,0.23,"{""pH"": 7.6, ""EC"": 0.28, ""Organic_Carbon"": 0.38, ""Nitrogen"": 243.0, ""Phosphorus"": 62.0, ""Potassium"": 539.0, ""Zinc"": 2.86, ""Iron"": 9.49, ""Copper"": 1.1, ""Boron"": 2.4, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-007671""}",NULL,NULL
"AND-GUN-008228","Satyanarayana Daggubati","PATAREDDIPALEM","Guntur","Chebrolu","Paddy (Rice)",2.32,57.73,"High",94.7,16.168040077892286,80.49937467841909,0.43,0.25,0.35,"{""pH"": 5.35, ""EC"": 1.99, ""Organic_Carbon"": 1.5, ""Nitrogen"": 318.0, ""Phosphorus"": 51.0, ""Potassium"": 529.0, ""Zinc"": 0.79, ""Iron"": 13.11, ""Copper"": 0.9, ""Boron"": 2.08, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-008228""}",NULL,NULL
"AND-GUN-006068","Gopi Kaza","SRIRANGAPURAM","Guntur","Chebrolu","Black Gram (Urad)",5.34,67.8,"Medium",89.5,16.204320037274286,80.55157808415868,0.48,0.4,0.26,"{""pH"": 5.79, ""EC"": 2.7, ""Organic_Carbon"": 0.28, ""Nitrogen"": 105.0, ""Phosphorus"": 43.0, ""Potassium"": 475.0, ""Zinc"": 0.75, ""Iron"": 2.66, ""Copper"": 1.02, ""Boron"": 1.55, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-006068""}",NULL,NULL
"AND-GUN-006411","Ravi Pothineni","SRIRANGAPURAM","Guntur","Chebrolu","Bajra (Pearl Millet)",1.19,53.97,"High",89.4,16.20674961512508,80.55015734292267,0.74,0.35,0.32,"{""pH"": 5.41, ""EC"": 1.47, ""Organic_Carbon"": 0.77, ""Nitrogen"": 441.0, ""Phosphorus"": 68.0, ""Potassium"": 521.0, ""Zinc"": 3.08, ""Iron"": 4.29, ""Copper"": 1.3, ""Boron"": 0.51, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-006411""}",NULL,NULL
"AND-GUN-001912","Narasimha Uppalapati","GARLAPADU","Guntur","Vatticherukuru","Maize",13.21,94.03,"Low",97.9,16.215575637153574,80.40948598537842,0.53,0.33,0.4,"{""pH"": 8.45, ""EC"": 0.24, ""Organic_Carbon"": 1.17, ""Nitrogen"": 174.0, ""Phosphorus"": 79.0, ""Potassium"": 176.0, ""Zinc"": 0.47, ""Iron"": 7.87, ""Copper"": 0.34, ""Boron"": 0.48, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-001912""}",NULL,NULL
"AND-GUN-007936","Krishna Vemula","GARLAPADU","Guntur","Vatticherukuru","Mango",2.27,57.57,"High",92.8,16.21167683159638,80.39580773649924,0.66,0.36,0.32,"{""pH"": 7.44, ""EC"": 2.94, ""Organic_Carbon"": 0.68, ""Nitrogen"": 184.0, ""Phosphorus"": 39.0, ""Potassium"": 308.0, ""Zinc"": 0.35, ""Iron"": 6.77, ""Copper"": 1.91, ""Boron"": 1.31, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-007936""}",NULL,NULL
"AND-GUN-007291","Subba Rao Golla","CHINNA RAVURU","Guntur","Pedakakani","Green Gram (Moong)",10.97,86.57,"Low",89.8,16.228286958979087,80.68737697163819,0.6,0.34,0.27,"{""pH"": 6.42, ""EC"": 0.33, ""Organic_Carbon"": 1.12, ""Nitrogen"": 184.0, ""Phosphorus"": 60.0, ""Potassium"": 553.0, ""Zinc"": 2.03, ""Iron"": 12.93, ""Copper"": 1.72, ""Boron"": 1.54, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-007291""}",NULL,NULL
"AND-GUN-008604","Narasimha Naidu","CHAMALLAMUDI","Guntur","Vatticherukuru","Sweet Orange",2.74,59.13,"High",88.0,16.21173589785312,80.44599024388678,0.79,0.37,0.47,"{""pH"": 7.19, ""EC"": 0.39, ""Organic_Carbon"": 1.31, ""Nitrogen"": 118.0, ""Phosphorus"": 57.0, ""Potassium"": 446.0, ""Zinc"": 0.93, ""Iron"": 14.99, ""Copper"": 0.27, ""Boron"": 1.21, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-008604""}",NULL,NULL
"AND-GUN-008754","Ravi Raju","CHAMALLAMUDI","Guntur","Vatticherukuru","Ragi (Finger Millet)",3.02,60.07,"Medium",94.8,16.221895415131463,80.41783990062211,0.42,0.35,0.34,"{""pH"": 6.81, ""EC"": 0.16, ""Organic_Carbon"": 0.26, ""Nitrogen"": 122.0, ""Phosphorus"": 73.0, ""Potassium"": 528.0, ""Zinc"": 0.61, ""Iron"": 2.88, ""Copper"": 1.35, ""Boron"": 1.09, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-008754""}",NULL,NULL
"AND-GUN-005207","Lakshmi Nandamuri","CHEBROLU","Guntur","Chebrolu","Sunflower",12.13,90.43,"Low",90.0,16.17869041931573,80.52781602577134,0.4,0.22,0.39,"{""pH"": 6.24, ""EC"": 1.57, ""Organic_Carbon"": 1.18, ""Nitrogen"": 233.0, ""Phosphorus"": 6.0, ""Potassium"": 453.0, ""Zinc"": 2.46, ""Iron"": 3.25, ""Copper"": 1.44, ""Boron"": 0.54, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-005207""}",NULL,NULL
"AND-GUN-000751","Kiran Golla","NADIMPALEM","Guntur","Prathipadu","Maize",2.2,57.33,"High",87.7,16.20209228704158,80.309697876307,0.41,0.56,0.4,"{""pH"": 7.19, ""EC"": 0.79, ""Organic_Carbon"": 0.89, ""Nitrogen"": 241.0, ""Phosphorus"": 33.0, ""Potassium"": 494.0, ""Zinc"": 1.49, ""Iron"": 3.32, ""Copper"": 1.49, ""Boron"": 2.21, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-000751""}",NULL,NULL
"AND-GUN-004680","Ramu Varma","NADIMPALEM","Guntur","Prathipadu","Horse Gram",9.65,82.17,"Low",98.5,16.202301929108188,80.2975713051845,0.33,0.56,0.2,"{""pH"": 8.11, ""EC"": 0.16, ""Organic_Carbon"": 1.03, ""Nitrogen"": 313.0, ""Phosphorus"": 63.0, ""Potassium"": 597.0, ""Zinc"": 1.88, ""Iron"": 4.56, ""Copper"": 0.32, ""Boron"": 2.46, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-004680""}",NULL,NULL
"AND-GUN-005578","Mahesh Konidela","NADIMPALEM","Guntur","Prathipadu","Oil Palm",14.75,99.17,"Low",94.1,16.204029135667096,80.30467189341222,0.48,0.47,0.38,"{""pH"": 6.43, ""EC"": 1.62, ""Organic_Carbon"": 1.17, ""Nitrogen"": 357.0, ""Phosphorus"": 41.0, ""Potassium"": 155.0, ""Zinc"": 0.55, ""Iron"": 10.32, ""Copper"": 1.7, ""Boron"": 1.27, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-005578""}",NULL,NULL
"AND-GUN-008388","Lakshmi Ghattamaneni","NADIMPALEM","Guntur","Prathipadu","Chilli",5.33,67.77,"Medium",94.0,16.21205031344389,80.29436605717744,0.52,0.22,0.39,"{""pH"": 6.8, ""EC"": 0.56, ""Organic_Carbon"": 0.48, ""Nitrogen"": 373.0, ""Phosphorus"": 31.0, ""Potassium"": 250.0, ""Zinc"": 3.34, ""Iron"": 2.7, ""Copper"": 1.18, ""Boron"": 0.39, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-008388""}",NULL,NULL
"AND-GUN-009964","Krishna Rao","NADIMPALEM","Guntur","Prathipadu","Chilli",8.47,78.23,"Medium",85.7,16.200309518314548,80.29964648922056,0.42,0.58,0.28,"{""pH"": 8.52, ""EC"": 2.12, ""Organic_Carbon"": 1.06, ""Nitrogen"": 371.0, ""Phosphorus"": 14.0, ""Potassium"": 139.0, ""Zinc"": 3.18, ""Iron"": 10.68, ""Copper"": 0.96, ""Boron"": 1.2, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-009964""}",NULL,NULL
"AND-GUN-000279","Babu Nimmagadda","GODAYARRU","Guntur","Chebrolu","Banana",10.68,85.6,"Low",94.7,16.22225942599463,80.51019517772014,0.66,0.29,0.43,"{""pH"": 7.92, ""EC"": 1.84, ""Organic_Carbon"": 1.13, ""Nitrogen"": 286.0, ""Phosphorus"": 62.0, ""Potassium"": 196.0, ""Zinc"": 0.52, ""Iron"": 10.57, ""Copper"": 0.1, ""Boron"": 0.95, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-000279""}",NULL,NULL
"AND-GUN-000776","Venkatesh Kothapalli","GODAVARRU","Guntur","Duggirala","Bajra (Pearl Millet)",2.67,58.9,"High",92.1,16.232087208893073,80.48205382856776,0.69,0.35,0.44,"{""pH"": 6.9, ""EC"": 2.07, ""Organic_Carbon"": 0.62, ""Nitrogen"": 218.0, ""Phosphorus"": 35.0, ""Potassium"": 187.0, ""Zinc"": 3.17, ""Iron"": 4.26, ""Copper"": 1.8, ""Boron"": 1.91, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-000776""}",NULL,NULL
"AND-GUN-004441","Prasad Kodali","GODAYARRU","Guntur","Chebrolu","Onion",13.18,93.93,"Low",91.2,16.223701510885665,80.48553785843237,0.54,0.52,0.49,"{""pH"": 8.63, ""EC"": 2.56, ""Organic_Carbon"": 1.08, ""Nitrogen"": 130.0, ""Phosphorus"": 57.0, ""Potassium"": 420.0, ""Zinc"": 3.32, ""Iron"": 2.42, ""Copper"": 1.93, ""Boron"": 1.89, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-004441""}",NULL,NULL
"AND-GUN-004588","Prasad Allu","GODAVARRU","Guntur","Duggirala","Ragi (Finger Millet)",2.4,58.0,"High",96.9,16.222637441882917,80.48598156544884,0.5,0.26,0.38,"{""pH"": 6.33, ""EC"": 1.46, ""Organic_Carbon"": 0.32, ""Nitrogen"": 132.0, ""Phosphorus"": 77.0, ""Potassium"": 419.0, ""Zinc"": 0.45, ""Iron"": 13.45, ""Copper"": 0.11, ""Boron"": 0.75, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-004588""}",NULL,NULL
"AND-GUN-005563","Saraswathi Golla","GODAYARRU","Guntur","Chebrolu","Groundnut",4.32,64.4,"Medium",86.7,16.211960983667545,80.4561493903864,0.43,0.38,0.26,"{""pH"": 7.98, ""EC"": 0.18, ""Organic_Carbon"": 1.27, ""Nitrogen"": 234.0, ""Phosphorus"": 36.0, ""Potassium"": 431.0, ""Zinc"": 2.07, ""Iron"": 3.98, ""Copper"": 0.9, ""Boron"": 0.39, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-005563""}",NULL,NULL
"AND-GUN-006717","Ravi Nandamuri","GODAYARRU","Guntur","Chebrolu","Maize",1.8,56.0,"High",94.4,16.2212848032065,80.47283380013036,0.38,0.53,0.21,"{""pH"": 8.49, ""EC"": 1.46, ""Organic_Carbon"": 1.2, ""Nitrogen"": 108.0, ""Phosphorus"": 60.0, ""Potassium"": 379.0, ""Zinc"": 0.64, ""Iron"": 11.0, ""Copper"": 0.39, ""Boron"": 2.2, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-006717""}",NULL,NULL
"AND-GUN-002979","Appa Rao Bandi","KURNUTALA","Guntur","Vatticherukuru","Maize",10.7,85.67,"Low",89.6,16.229649844075958,80.41027025230062,0.74,0.49,0.46,"{""pH"": 5.41, ""EC"": 1.48, ""Organic_Carbon"": 0.44, ""Nitrogen"": 446.0, ""Phosphorus"": 10.0, ""Potassium"": 262.0, ""Zinc"": 3.07, ""Iron"": 7.27, ""Copper"": 1.2, ""Boron"": 2.39, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-002979""}",NULL,NULL
"AND-GUN-006099","Sai Mekapati","KURNUTALA","Guntur","Vatticherukuru","Onion",3.37,61.23,"Medium",94.3,16.235113079487636,80.385733608502,0.43,0.39,0.35,"{""pH"": 7.51, ""EC"": 2.81, ""Organic_Carbon"": 0.43, ""Nitrogen"": 411.0, ""Phosphorus"": 17.0, ""Potassium"": 519.0, ""Zinc"": 2.58, ""Iron"": 8.23, ""Copper"": 1.51, ""Boron"": 1.21, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-006099""}",NULL,NULL
"AND-GUN-008157","Rambabu Chowdary","KURNUTALA","Guntur","Vatticherukuru","Sugarcane",10.82,86.07,"Low",87.3,16.226740857483506,80.39870454897813,0.52,0.3,0.3,"{""pH"": 8.78, ""EC"": 2.64, ""Organic_Carbon"": 1.5, ""Nitrogen"": 240.0, ""Phosphorus"": 36.0, ""Potassium"": 189.0, ""Zinc"": 0.31, ""Iron"": 8.61, ""Copper"": 1.6, ""Boron"": 0.46, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-008157""}",NULL,NULL
"AND-GUN-009798","Prasad Uppalapati","ANANTAVARAPPADU","Guntur","Vatticherukuru","Tomato",9.86,82.87,"Low",95.6,16.223292975586077,80.44741840289981,0.59,0.45,0.27,"{""pH"": 7.12, ""EC"": 2.87, ""Organic_Carbon"": 1.13, ""Nitrogen"": 219.0, ""Phosphorus"": 38.0, ""Potassium"": 175.0, ""Zinc"": 0.33, ""Iron"": 13.51, ""Copper"": 1.17, ""Boron"": 2.35, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-009798""}",NULL,NULL
"AND-GUN-005189","Saraswathi Kambhampati","ENAMADALA","Guntur","Prathipadu","Tomato",14.1,97.0,"Low",86.4,16.20205749369697,80.36802689585832,0.5,0.47,0.44,"{""pH"": 7.16, ""EC"": 2.29, ""Organic_Carbon"": 0.79, ""Nitrogen"": 188.0, ""Phosphorus"": 52.0, ""Potassium"": 386.0, ""Zinc"": 0.35, ""Iron"": 8.41, ""Copper"": 1.5, ""Boron"": 1.39, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005189""}",NULL,NULL
"AND-GUN-009976","Narasimha Pothineni","ENAMADALA","Guntur","Prathipadu","Tomato",3.2,60.67,"Medium",85.6,16.210431842650973,80.36335132302614,0.57,0.32,0.29,"{""pH"": 8.79, ""EC"": 0.29, ""Organic_Carbon"": 0.98, ""Nitrogen"": 410.0, ""Phosphorus"": 13.0, ""Potassium"": 118.0, ""Zinc"": 2.04, ""Iron"": 8.62, ""Copper"": 0.14, ""Boron"": 1.06, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-009976""}",NULL,NULL
"AND-GUN-002551","Appa Rao Yarlagadda","INDULAPALEM","Guntur","Prathipadu","Cotton",5.56,68.53,"Medium",85.9,16.231979038132373,80.31455932751513,0.67,0.45,0.36,"{""pH"": 6.07, ""EC"": 0.25, ""Organic_Carbon"": 0.77, ""Nitrogen"": 297.0, ""Phosphorus"": 77.0, ""Potassium"": 218.0, ""Zinc"": 1.49, ""Iron"": 9.1, ""Copper"": 0.34, ""Boron"": 1.88, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-002551""}",NULL,NULL
"AND-GUN-003642","Subba Rao Kothapalli","INDULAPALEM","Guntur","Prathipadu","Sugarcane",13.67,95.57,"Low",90.2,16.24011872488122,80.31941400657604,0.71,0.52,0.37,"{""pH"": 8.69, ""EC"": 2.47, ""Organic_Carbon"": 0.32, ""Nitrogen"": 379.0, ""Phosphorus"": 39.0, ""Potassium"": 454.0, ""Zinc"": 1.86, ""Iron"": 13.26, ""Copper"": 0.53, ""Boron"": 0.21, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-003642""}",NULL,NULL
"AND-GUN-009260","Mahesh Daggubati","INDULAPALEM","Guntur","Prathipadu","Sugarcane",2.38,57.93,"High",92.0,16.23985769118547,80.3167085406923,0.74,0.29,0.42,"{""pH"": 5.53, ""EC"": 1.9, ""Organic_Carbon"": 1.18, ""Nitrogen"": 154.0, ""Phosphorus"": 57.0, ""Potassium"": 440.0, ""Zinc"": 0.94, ""Iron"": 2.8, ""Copper"": 1.17, ""Boron"": 1.67, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-009260""}",NULL,NULL
"AND-GUN-000593","Prasad Dasari","NARAKODURU","Guntur","Chebrolu","Tomato",3.14,60.47,"Medium",93.5,16.236076930549597,80.48216766073223,0.71,0.29,0.29,"{""pH"": 5.8, ""EC"": 0.78, ""Organic_Carbon"": 0.96, ""Nitrogen"": 382.0, ""Phosphorus"": 64.0, ""Potassium"": 552.0, ""Zinc"": 1.32, ""Iron"": 3.12, ""Copper"": 1.71, ""Boron"": 1.13, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-000593""}",NULL,NULL
"AND-GUN-005380","Srinivas Rao","NARAKODURU","Guntur","Chebrolu","Mango",3.96,63.2,"Medium",85.6,16.24414540485434,80.49743158955359,0.36,0.45,0.48,"{""pH"": 8.71, ""EC"": 1.62, ""Organic_Carbon"": 0.79, ""Nitrogen"": 275.0, ""Phosphorus"": 24.0, ""Potassium"": 357.0, ""Zinc"": 3.12, ""Iron"": 4.1, ""Copper"": 0.32, ""Boron"": 0.8, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005380""}",NULL,NULL
"AND-GUN-005477","Saraswathi Reddy","NARAKODURU","Guntur","Chebrolu","Bengal Gram (Chickpea)",5.28,67.6,"Medium",85.0,16.231793833230487,80.47821482351095,0.7,0.24,0.25,"{""pH"": 5.32, ""EC"": 0.64, ""Organic_Carbon"": 0.48, ""Nitrogen"": 308.0, ""Phosphorus"": 43.0, ""Potassium"": 496.0, ""Zinc"": 2.49, ""Iron"": 10.41, ""Copper"": 1.13, ""Boron"": 0.22, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005477""}",NULL,NULL
"AND-GUN-005654","Sai Pothineni","NARAKODURU","Guntur","Chebrolu","Bengal Gram (Chickpea)",5.61,68.7,"Medium",93.5,16.231858630581062,80.4881231625579,0.48,0.47,0.34,"{""pH"": 6.97, ""EC"": 2.31, ""Organic_Carbon"": 0.89, ""Nitrogen"": 190.0, ""Phosphorus"": 62.0, ""Potassium"": 130.0, ""Zinc"": 1.49, ""Iron"": 14.22, ""Copper"": 1.95, ""Boron"": 2.12, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005654""}",NULL,NULL
"AND-GUN-009543","Siva Nimmagadda","NARAKODURU","Guntur","Chebrolu","Sunflower",5.55,68.5,"Medium",85.8,16.227173292347363,80.47542059512786,0.4,0.23,0.45,"{""pH"": 7.31, ""EC"": 1.73, ""Organic_Carbon"": 1.33, ""Nitrogen"": 236.0, ""Phosphorus"": 53.0, ""Potassium"": 105.0, ""Zinc"": 2.28, ""Iron"": 6.57, ""Copper"": 0.29, ""Boron"": 2.47, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-009543""}",NULL,NULL
"AND-GUN-001678","Appa Rao Varma","VADLAMUDI","Guntur","Chebrolu","Red Gram (Pigeon Pea)",6.34,71.13,"Medium",98.6,16.23920060564424,80.55201515382744,0.64,0.46,0.42,"{""pH"": 5.85, ""EC"": 1.65, ""Organic_Carbon"": 0.64, ""Nitrogen"": 172.0, ""Phosphorus"": 10.0, ""Potassium"": 219.0, ""Zinc"": 0.99, ""Iron"": 4.37, ""Copper"": 1.19, ""Boron"": 0.7, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-001678""}",NULL,NULL
"AND-GUN-000608","Prakash Akkineni","SANGAMJAGARIAMUDI","Guntur","Pedakakani","Black Gram (Urad)",5.78,69.27,"Medium",90.3,16.240389672264843,80.58324255071396,0.34,0.21,0.44,"{""pH"": 5.35, ""EC"": 1.32, ""Organic_Carbon"": 1.49, ""Nitrogen"": 272.0, ""Phosphorus"": 29.0, ""Potassium"": 144.0, ""Zinc"": 0.93, ""Iron"": 13.47, ""Copper"": 1.61, ""Boron"": 2.09, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-000608""}",NULL,NULL
"AND-GUN-009640","Babu Goud","SANGAMJAGARIAMUDI","Guntur","Pedakakani","Chilli",0.81,52.7,"High",92.0,16.229575654092855,80.58137509594393,0.44,0.59,0.42,"{""pH"": 6.21, ""EC"": 1.59, ""Organic_Carbon"": 0.49, ""Nitrogen"": 379.0, ""Phosphorus"": 54.0, ""Potassium"": 304.0, ""Zinc"": 1.99, ""Iron"": 6.74, ""Copper"": 1.49, ""Boron"": 1.02, ""Soil_Type"": ""Sandy Loam"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-009640""}",NULL,NULL
"AND-GUN-008835","Bhavani Chowdary","KORNEPADU","Guntur","Vatticherukuru","Chilli",14.18,97.27,"Low",90.3,16.246281718519707,80.41740121328864,0.63,0.28,0.32,"{""pH"": 6.71, ""EC"": 2.29, ""Organic_Carbon"": 0.72, ""Nitrogen"": 422.0, ""Phosphorus"": 27.0, ""Potassium"": 256.0, ""Zinc"": 1.76, ""Iron"": 14.96, ""Copper"": 0.23, ""Boron"": 1.96, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-008835""}",NULL,NULL
